X,Y,cluster
0.117,0.428,5
-0.028,0.552,1
-0.192,0.395,3
-0.051,0.446,4
-0.083,0.546,1
-0.132,0.396,4
0.218,0.231,5
-0.157,0.292,0
0.096,0.399,5
0.062,0.491,5
0.05,0.39,5
0.012,0.396,5
0.004,0.632,1
0.009,0.537,1
-0.04,0.305,4
-0.184,0.391,3
0.156,0.581,2
-0.312,0.277,0
-0.022,0.521,1
0.127,0.579,2
-0.03,0.484,1
-0.159,0.259,0
0.229,0.524,2
-0.006,0.504,1
0.104,0.343,5
-0.038,0.632,1
0.087,0.33,5
-0.098,0.37,4
-0.11,0.508,3
-0.075,0.656,1
-0.071,0.589,1
-0.095,0.192,0
0.106,0.433,5
-0.055,0.352,4
0.198,0.648,2
-0.237,0.618,3
-0.029,0.319,4
-0.017,0.503,1
0.087,0.692,2
0.32,0.495,2
-0.124,0.535,3
-0.148,0.498,3
-0.089,0.535,1
0.005,0.465,5
0.113,0.674,2
-0.061,0.486,1
-0.005,0.528,1
0.022,0.415,5
-0.023,0.46,1
-0.145,0.377,4
-0.071,0.374,4
-0.005,0.598,1
0.015,0.471,5
-0.059,0.595,1
-0.022,0.429,5
-0.045,0.319,4
0.084,0.533,2
0.204,0.556,2
-0.193,0.153,0
-0.007,0.549,1
0.033,0.354,5
0.063,0.436,5
-0.082,0.414,4
0.102,0.587,2
-0.025,0.16,0
0.094,0.63,2
-0.077,0.393,4
-0.112,0.334,4
-0.138,0.517,3
0.015,0.549,1
-0.136,0.313,4
0.106,0.586,2
0.164,0.385,5
-0.264,0.474,3
0.117,0.633,2
0.415,0.699,2
-0.106,0.622,1
-0.015,0.573,1
-0.222,0.37,3
0.062,0.327,5
0.139,0.412,5
-0.234,0.178,0
0.005,0.457,5
-0.091,0.508,1
0.116,0.69,2
0.269,0.505,2
-0.133,0.59,1
0.055,0.544,1
-0.251,0.601,3
-0.12,0.595,1
0.016,0.509,1
-0.118,0.616,1
0.076,0.367,5
-0.131,0.364,4
-0.014,0.612,1
0.057,0.461,5
-0.01,0.616,1
-0.235,0.453,3
-0.04,0.508,1
-0.025,0.593,1
0.028,0.584,1
0.098,0.558,2
0.038,0.421,5
0.055,0.587,1
0.025,0.575,1
-0.075,0.47,1
-0.031,0.475,1
0.163,0.489,2
0.092,0.35,5
0.069,0.606,2
0.171,0.481,2
0.043,0.165,4
-0.114,0.576,1
-0.305,0.404,3
-0.152,0.554,3
0.127,0.595,2
-0.134,0.567,3
0.108,0.457,5
-0.086,0.635,1
-0.048,0.523,1
0.055,0.533,1
-0.071,0.482,1
0.021,0.335,5
0.057,0.391,5
-0.069,0.317,4
-0.056,0.319,4
-0.078,0.255,4
-0.121,0.312,4
-0.174,0.469,3
-0.1,0.561,1
-0.059,0.345,4
-0.158,0.427,3
-0.05,0.601,1
0.016,0.551,1
-0.021,0.276,4
0.017,0.563,1
0.078,0.431,5
-0.012,0.485,1
-0.223,0.548,3
-0.128,0.464,3
0.074,0.477,5
-0.008,0.565,1
-0.048,0.428,4
-0.006,0.412,5
-0.037,0.478,1
0.331,0.513,2
0.021,0.45,5
-0.051,0.505,1
0.118,0.484,5
-0.046,0.339,4
0.01,0.591,1
0.003,0.548,1
0.155,0.656,2
0.188,0.498,2
-0.03,0.502,1
-0.151,0.461,3
