A�o,Categoria,Recomendaci�n,Amabilidad,Asesorias,Rapidez,Comentarios
2023,Alumno,1,Neutral,Neutral,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2024,Docente,2,Bueno,Muy Malo,Neutral,Los baños muchas veces se quedan sin papel o sin jabón o están muy sucios
2023,Personal Administrativo,5,Muy Bueno,Malo,Malo,Muy Bien
2024,Otro,6,Malo,Malo,Bueno,Las aulas de cómputo estan muy sucias
2023,Alumno,1,Neutral,Muy Malo,Muy Bueno,Cambiar el sistema de pago de copias e impresiones
2023,Otro,5,Malo,Neutral,Bueno,Me caen muy bien
2024,Docente,2,Malo,Malo,Muy Malo,Baños sucios
2023,Alumno,7,Muy Malo,Muy Malo,Muy Bueno,"Todo excelente, gracias"
2023,Otro,1,Muy Malo,Neutral,Muy Bueno,Compren equipo nuevo
2024,Docente,2,Bueno,Malo,Malo,Me caen muy bien
2023,Otro,4,Neutral,Bueno,Muy Malo,"Todo excelente, gracias"
2024,Alumno,8,Bueno,Malo,Muy Bueno,El Internet esta muy lento
2024,Otro,4,Bueno,Muy Bueno,Muy Malo,Las aulas de cómputo estan muy sucias
2023,Personal Administrativo,2,Muy Malo,Neutral,Muy Malo,
2023,Alumno,3,Bueno,Muy Malo,Bueno,El Internet esta muy lento
2023,Alumno,3,Malo,Muy Bueno,Neutral,Atienden muy lento
2024,Alumno,0,Muy Malo,Muy Malo,Malo,Nadie atiende
2024,Alumno,8,Neutral,Muy Malo,Bueno,Muy pocas computadoras
2023,Alumno,2,Neutral,Bueno,Bueno,al momento de pedir una impresión te atienden de mala gana.mejoren la actitud.
2023,Personal Administrativo,2,Neutral,Bueno,Neutral,No funcionan los proyectores
2024,Personal Administrativo,8,Muy Bueno,Muy Bueno,Malo,Me atendieron de una forma muy grosera
2023,Otro,1,Malo,Neutral,Muy Malo,Fallan equipos
2023,Otro,6,Muy Malo,Muy Bueno,Muy Malo,Nada
2023,Otro,2,Muy Bueno,Muy Bueno,Muy Malo,Me atendieron de una forma muy grosera
2023,Docente,5,Bueno,Neutral,Bueno,Computadoras lentas
2023,Docente,7,Muy Malo,Bueno,Bueno,Nadie atiende
2024,Personal Administrativo,1,Bueno,Muy Malo,Bueno,Atienden muy lento
2024,Otro,5,Neutral,Malo,Muy Bueno,Atienden muy lento
2024,Alumno,3,Muy Malo,Muy Malo,Muy Malo,Bien
2023,Personal Administrativo,8,Neutral,Muy Bueno,Muy Bueno,Compren equipo nuevo
2024,Docente,4,Muy Bueno,Neutral,Muy Malo,"Todo excelente, gracias"
2024,Alumno,1,Neutral,Bueno,Malo,El Internet esta muy lento
2024,Docente,5,Neutral,Bueno,Bueno,Fallan equipos
2024,Personal Administrativo,7,Malo,Muy Malo,Muy Malo,Computadoras lentas
2024,Otro,5,Malo,Neutral,Malo,al momento de pedir una impresión te atienden de mala gana.mejoren la actitud.
2023,Otro,8,Malo,Neutral,Malo,Me atendieron de una forma muy grosera
2023,Otro,9,Muy Bueno,Muy Malo,Neutral,"Todo muy bien, el ambiente es agradable"
2024,Docente,4,Muy Bueno,Neutral,Muy Malo,Compren equipo nuevo
2024,Otro,9,Neutral,Neutral,Muy Malo,Falta más personal de servicioEs muy difícil accederExcelente servicioEl internet esta lentisimo
2024,Personal Administrativo,8,Muy Malo,Neutral,Bueno,Me caen muy bien
2024,Personal Administrativo,4,Malo,Muy Bueno,Muy Malo,Compren equipo nuevo
