Mes,Dia,Inicio,Fin,Promedio_exterior,Promedio_interior,Promedio_clima,Corr(Ext-Clima),Corr(Int-Clima)
Abril,1,07:00,07:30,22,23,22,0.117,0.428
Abril,1,07:30,08:00,23,23,21,-0.028,0.552
Abril,1,08:00,08:30,24,23,22,-0.192,0.395
Abril,1,08:30,09:00,25,23,22,-0.051,0.446
Abril,1,09:00,09:30,26,23,21,-0.083,0.546
Abril,1,09:30,10:00,26,24,22,-0.132,0.396
Abril,1,10:00,10:30,27,24,22,0.218,0.231
Abril,1,10:30,11:00,28,24,21,-0.157,0.292
Abril,1,11:00,11:30,28,24,22,0.096,0.399
Abril,1,11:30,12:00,29,24,22,0.062,0.491
Abril,1,12:00,12:30,29,24,21,0.05,0.39
Abril,1,12:30,13:00,30,24,21,0.012,0.396
Abril,1,13:00,13:30,30,24,22,0.004,0.632
Abril,1,13:30,14:00,30,24,22,0.009,0.537
Abril,1,14:00,14:30,31,24,21,-0.04,0.305
Abril,1,14:30,15:00,31,24,21,-0.184,0.391
Abril,1,15:00,15:30,31,24,21,0.156,0.581
Abril,1,15:30,16:00,31,24,21,-0.312,0.277
Abril,1,16:00,16:30,31,24,21,-0.022,0.521
Abril,1,16:30,17:00,30,24,21,0.127,0.579
Abril,1,17:00,17:30,30,24,21,-0.03,0.484
Abril,1,17:30,18:00,29,24,21,-0.159,0.259
Abril,1,18:00,18:30,29,24,22,0.229,0.524
Abril,1,18:30,19:00,29,24,21,-0.006,0.504
Abril,1,19:00,19:30,28,24,22,0.104,0.343
Abril,1,19:30,20:00,28,24,22,-0.038,0.632
Enero,1,07:00,07:30,20,22,22,0.087,0.33
Enero,1,07:30,08:00,20,23,21,-0.098,0.37
Enero,1,08:00,08:30,20,23,21,-0.11,0.508
Enero,1,08:30,09:00,21,23,22,-0.075,0.656
Enero,1,09:00,09:30,21,23,21,-0.071,0.589
Enero,1,09:30,10:00,22,23,22,-0.095,0.192
Enero,1,10:00,10:30,22,23,21,0.106,0.433
Enero,1,10:30,11:00,23,23,22,-0.055,0.352
Enero,1,11:00,11:30,23,23,22,0.198,0.648
Enero,1,11:30,12:00,24,23,21,-0.237,0.618
Enero,1,12:00,12:30,24,23,22,-0.029,0.319
Enero,1,12:30,13:00,24,23,21,-0.017,0.503
Enero,1,13:00,13:30,25,23,21,0.087,0.692
Enero,1,13:30,14:00,25,23,22,0.32,0.495
Enero,1,14:00,14:30,25,23,21,-0.124,0.535
Enero,1,14:30,15:00,25,23,22,-0.148,0.498
Enero,1,15:00,15:30,26,23,21,-0.089,0.535
