mes,hora,temp_exterior_c,temp_interior_c,temp_ac_c
Enero,07:00,20,23,22
Enero,07:15,20,23,22
Enero,07:30,20,22,20
Enero,07:45,20,22,21
Enero,08:00,20,23,21
Enero,08:15,20,22,21
Enero,08:30,20,22,22
Enero,08:45,21,24,22
Enero,09:00,21,22,20
Enero,09:15,21,23,22
Enero,09:30,22,22,21
Enero,09:45,22,24,21
Enero,10:00,22,22,22
Enero,10:15,23,23,22
Enero,10:30,23,23,22
Enero,10:45,22,23,21
Enero,11:00,23,24,22
Enero,11:15,24,24,23
Enero,11:30,23,23,22
Enero,11:45,24,22,20
Enero,12:00,25,23,21
Enero,12:15,25,23,22
Enero,12:30,24,23,22
Enero,12:45,24,23,21
Enero,13:00,25,22,21
Enero,13:15,25,23,21
Enero,13:30,26,24,22
Enero,13:45,24,23,22
Enero,14:00,25,23,21
Enero,14:15,26,24,22
Enero,14:30,26,23,22
Enero,14:45,25,23,21
Enero,15:00,25,23,22
Enero,15:15,25,24,22
Enero,15:30,26,23,21
Enero,15:45,25,23,22
Enero,16:00,25,23,21
Enero,16:15,25,23,22
Enero,16:30,25,24,21
Enero,16:45,24,23,22
Enero,17:00,25,23,21
Enero,17:15,25,24,22
Enero,17:30,24,23,21
Enero,17:45,24,24,23
Enero,18:00,24,25,23
Enero,18:15,23,23,22
Enero,18:30,24,23,21
Enero,18:45,23,24,22
Enero,19:00,23,23,22
Enero,19:15,23,23,21
Enero,19:30,23,23,22
Enero,19:45,23,24,23
Enero,20:00,23,24,22
Enero,07:00,20,22,21
Enero,07:15,20,22,20
Enero,07:30,20,23,22
Enero,07:45,20,23,22
Enero,08:00,20,23,21
Enero,08:15,20,22,22
Enero,08:30,20,23,22
Enero,08:45,20,22,21
Enero,09:00,22,22,22
Enero,09:15,22,23,22
Enero,09:30,22,23,21
Enero,09:45,22,21,21
Enero,10:00,22,23,20
Enero,10:15,22,24,21
Enero,10:30,23,23,22
Enero,10:45,23,23,21
Enero,11:00,24,24,21
Enero,11:15,25,22,21
Enero,11:30,24,23,21
Enero,11:45,24,24,22
Enero,12:00,25,24,22
Enero,12:15,25,23,21
Enero,12:30,25,24,21
Enero,12:45,26,23,22
Enero,13:00,26,24,22
Enero,13:15,26,23,21
Enero,13:30,26,23,23
Enero,13:45,26,23,21
Enero,14:00,26,24,25
Enero,14:15,26,24,21
Enero,14:30,26,23,21
Enero,14:45,26,24,21
Enero,15:00,26,23,21
Enero,15:15,26,24,22
Enero,15:30,27,23,21
Enero,15:45,26,23,21
Enero,16:00,26,24,23
Enero,16:15,26,23,21
Enero,16:30,26,23,21
Enero,16:45,26,25,22
Enero,17:00,26,25,21
Enero,17:15,25,22,21
Enero,17:30,25,23,22
Enero,17:45,25,23,21
Enero,18:00,24,25,22
Enero,18:15,24,24,23
Enero,18:30,23,23,21
Enero,18:45,24,23,22
Enero,19:00,24,24,21
Enero,19:15,23,24,22
Enero,19:30,24,24,22
Enero,19:45,24,24,23
Enero,20:00,23,23,23
Enero,07:00,20,21,21
Enero,07:15,20,23,21
Enero,07:30,20,23,21
Enero,07:45,20,22,22
Enero,08:00,20,22,21
Enero,08:15,20,23,22
Enero,08:30,20,22,21
Enero,08:45,20,23,21
Enero,09:00,20,23,22
Enero,09:15,21,23,22
Enero,09:30,21,21,21
Enero,09:45,22,23,21
Enero,10:00,23,23,22
Enero,10:15,21,22,21
Enero,10:30,22,23,21
Enero,10:45,22,24,22
Enero,11:00,23,23,22
Enero,11:15,22,23,21
Enero,11:30,22,23,22
Enero,11:45,22,22,21
Enero,12:00,23,23,21
Enero,12:15,22,24,22
Enero,12:30,23,23,22
Enero,12:45,23,23,21
Enero,13:00,22,23,21
Enero,13:15,23,22,20
Enero,13:30,23,23,21
Enero,13:45,24,23,21
Enero,14:00,23,23,22
Enero,14:15,24,23,21
Enero,14:30,23,24,22
Enero,14:45,23,23,21
Enero,15:00,24,23,22
Enero,15:15,24,24,21
Enero,15:30,23,21,21
Enero,15:45,23,24,22
Enero,16:00,24,22,20
Enero,16:15,23,24,22
Enero,16:30,23,24,23
Enero,16:45,23,23,21
Enero,17:00,23,23,21
Enero,17:15,37,23,21
Enero,17:30,22,23,21
Enero,17:45,23,24,23
Enero,18:00,22,21,21
Enero,18:15,23,23,21
Enero,18:30,23,23,22
Enero,18:45,22,23,22
Enero,19:00,23,24,22
Enero,19:15,22,23,22
Enero,19:30,21,23,22
Enero,19:45,21,22,21
Enero,20:00,21,22,21
Enero,07:00,20,21,21
Enero,07:15,20,24,22
Enero,07:30,20,23,21
Enero,07:45,20,23,21
Enero,08:00,20,22,21
Enero,08:15,20,22,22
Enero,08:30,20,24,21
Enero,08:45,20,22,21
Enero,09:00,20,24,23
Enero,09:15,20,22,21
Enero,09:30,20,23,22
Enero,09:45,21,23,22
Enero,10:00,20,23,22
Enero,10:15,21,23,21
Enero,10:30,21,23,22
Enero,10:45,21,22,23
Enero,11:00,21,24,22
Enero,11:15,22,23,22
Enero,11:30,22,23,22
Enero,11:45,22,21,21
Enero,12:00,23,23,22
Enero,12:15,22,23,21
Enero,12:30,23,23,21
Enero,12:45,23,24,22
Enero,13:00,22,22,21
Enero,13:15,23,23,21
Enero,13:30,23,22,20
Enero,13:45,23,23,23
Enero,14:00,24,23,22
Enero,14:15,23,24,22
Enero,14:30,24,23,22
Enero,14:45,23,24,22
Enero,15:00,24,24,21
Enero,15:15,23,23,22
Enero,15:30,24,23,21
Enero,15:45,24,24,22
Enero,16:00,23,22,21
Enero,16:15,23,22,21
Enero,16:30,23,23,22
Enero,16:45,23,23,21
Enero,17:00,23,23,21
Enero,17:15,23,22,21
Enero,17:30,23,24,21
Enero,17:45,23,23,22
Enero,18:00,22,25,22
Enero,18:15,22,24,22
Enero,18:30,22,22,21
Enero,18:45,22,22,21
Enero,19:00,22,23,21
Enero,19:15,22,23,22
Enero,19:30,22,23,23
Enero,19:45,21,22,21
Enero,20:00,21,24,22
Enero,07:00,20,9,21
Enero,07:15,20,23,22
Enero,07:30,20,23,23
Enero,07:45,20,21,21
Enero,08:00,20,23,23
Enero,08:15,20,24,22
Enero,08:30,20,23,23
Enero,08:45,20,23,22
Enero,09:00,21,23,22
Enero,09:15,21,23,22
Enero,09:30,22,23,21
Enero,09:45,21,24,22
